Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
0,https://myanimelist.net/manga/2/Berserk,Berserk,Berserk: The Prototype,ベルセルク,Manga,Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","{'from': '1989-08-25', 'to': 'Unknown'}","['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Supernatural', 'Military', 'Psychological', 'Seinen']","['Miura, Kentarou (Story & Art)']",Young Animal,9.33,1,4,296958,61992,139571
1,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,Unknown,"JoJo's Bizarre Adventure Part 7: Steel Ball Run, SBR",ジョジョの奇妙な冒険 Part7 STEEL BALL RUN,Manga,24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","{'from': '2004-01-19', 'to': '2011-04-19'}","['Action', 'Adventure', 'Mystery', 'Historical', 'Horror', 'Shounen', 'Supernatural']","['Araki, Hirohiko (Story & Art)']",Ultra Jump,9.21,2,50,97073,18083,54901
2,https://myanimelist.net/manga/25/Fullmetal_Alchemist,Fullmetal Alchemist,"Full Metal Alchemist, Hagane no Renkinjutsushi, FMA, HagaRen, Fullmetal Alchemist Gaiden",鋼の錬金術師,Manga,27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","{'from': '2001-07-12', 'to': '2010-09-11'}","['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Military']","['Arakawa, Hiromu (Story & Art)']",Shounen Gangan,9.12,3,11,197562,26386,110885
3,https://myanimelist.net/manga/13/One_Piece,One Piece,Unknown,ONE PIECE,Manga,Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","{'from': '1997-07-22', 'to': 'Unknown'}","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super', 'Super']","['Oda, Eiichiro (Story & Art)']",Shounen Jump (Weekly),9.08,4,2,306944,75106,185560
4,https://myanimelist.net/manga/1/Monster,Monster,Unknown,MONSTER,Manga,18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","{'from': '1994-12-05', 'to': '2001-12-20'}","['Mystery', 'Drama', 'Psychological', 'Seinen']","['Urasawa, Naoki (Story & Art)']",Big Comic Original,9.07,5,39,103030,10000,41412
5,https://myanimelist.net/manga/656/Vagabond,Vagabond,Unknown,バガボンド,Manga,37,327,On Hiatus,"Mar  23, 1999 to May  21, 2015","{'from': '1999-03-23', 'to': '2015-05-21'}","['Action', 'Adventure', 'Drama', 'Historical', 'Samurai', 'Seinen']","['Inoue, Takehiko (Story & Art)', ' Yoshikawa, Eiji (Story)']",Morning,9.05,6,22,134645,14596,46282
6,https://myanimelist.net/manga/4632/Oyasumi_Punpun,Goodnight Punpun,Unknown,おやすみプンプン,Manga,13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","{'from': '2007-03-15', 'to': '2013-11-02'}","['Drama', 'Slice', 'Slice', 'Psychological', 'Seinen']","['Asano, Inio (Story & Art)']",Big Comic Spirits,9.03,7,12,182755,25247,70638
7,https://myanimelist.net/manga/16765/Kingdom,Unknown,Unknown,キングダム,Manga,Unknown,Unknown,Publishing,"Jan  26, 2006 to ?","{'from': '2006-01-26', 'to': 'Unknown'}","['Action', 'Drama', 'Historical', 'Military', 'Seinen']","['Hara, Yasuhisa (Story & Art)']",Young Jump,9.01,8,78,73634,7969,28524
8,https://myanimelist.net/manga/70345/Grand_Blue,Grand Blue Dreaming,Unknown,ぐらんぶる,Manga,Unknown,Unknown,Publishing,"Apr  7, 2014 to ?","{'from': '2014-04-07', 'to': 'Unknown'}","['Comedy', 'Slice', 'Slice', 'Seinen']","['Inoue, Kenji (Story)', ' Yoshioka, Kimitake (Art)']",good! Afternoon,9,9,71,76527,7363,26582
9,https://myanimelist.net/manga/51/Slam_Dunk,Slam Dunk,Unknown,SLAM DUNK,Manga,31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","{'from': '1990-09-18', 'to': '1996-06-04'}","['Comedy', 'Drama', 'School', 'Shounen', 'Sports']","['Inoue, Takehiko (Story & Art)']",Shounen Jump (Weekly),8.98,10,89,69802,8049,34574
10,https://myanimelist.net/manga/3/20th_Century_Boys,20th Century Boys,"20 Seiki Shounen, Nijuu Seiki Shounen, Nijuusseiki Shounen, 20thCB",20世紀少年,Manga,22,249,Finished,"Sep  27, 1999 to Apr  24, 2006","{'from': '1999-09-27', 'to': '2006-04-24'}","['Mystery', 'Drama', 'Historical', 'Sci', 'Sci', 'Psychological', 'Seinen']","['Urasawa, Naoki (Story & Art)']",Big Comic Spirits,8.96,11,37,104666,10822,40663
